coin,timeframe,futures,swing_length,stop_loss_multiplier,take_profit_multiplier,min_strength_ratio,trailing_stop_activation,trailing_stop_percent,violation_type,risk_per_trade_percent,mean_test_sharpe,mean_test_roi,mean_test_profit_factor,mean_test_win_rate,mean_test_trades
ETHUSDT,15m,True,30,1.0,4,0.6,3.0,2.5,Close,3,-0.5876908713943939,-5.769098648020711,0.7272321346272831,0.5416666666666666,7
ETHUSDT,15m,True,5,0.7,4,0.3,3.0,3.0,Close,1,-2.1856062419393565,-47.55522757311693,0.7569102491331987,0.46557723648856975,301
ETHUSDT,15m,True,5,0.7,4,0.5,3.0,2.5,Wick,3,-2.045998291459403,-93.67838332347247,0.7016078623377884,0.4352023478529503,161
ETHUSDT,15m,True,20,1.2,2,0.7,2.0,2.0,Wick,1,-40.46140320793189,-0.5271752435120759,inf,0.5,2
ETHUSDT,15m,True,30,0.5,3,0.6,1.5,1.5,Wick,2,-0.40695107266730346,-1.0342737506808697,0.6212069947112517,0.7083333333333333,7
ETHUSDT,15m,True,30,1.5,6,0.3,1.5,2.5,Close,3,0.8519074270716713,23.14577288343119,1.2988627222841245,0.5253623188405797,68
ETHUSDT,15m,True,15,1.0,2,0.7,2.0,1.5,Close,2,-0.1279613548726931,-0.44913952872937846,1.0759930461530722,0.7,5
ETHUSDT,15m,True,10,1.5,4,0.4,1.5,1.5,Wick,3,-1.0471913176619365,-45.24351457238545,0.8124186639654123,0.42307692307692313,132
ETHUSDT,15m,True,5,1.5,6,0.6,3.0,1.5,Wick,2,-1.8319684677128536,-54.78072881261487,0.6733958670292289,0.28150943396226413,103
ETHUSDT,15m,True,10,1.2,5,0.4,2.5,2.5,Wick,3,-0.7519720773157412,-36.85173262193537,0.8620689134566042,0.3878383067314365,131
ETHUSDT,15m,True,10,1.2,4,0.6,2.0,3.0,Wick,2,0.10581901874569333,2.520094667097167,1.1984613209987356,0.45703395703395705,38
ETHUSDT,15m,True,15,0.7,6,0.3,2.5,1.5,Wick,2,-1.2236417375586464,-32.78028839640354,0.7945056181374752,0.4708864991363459,134
ETHUSDT,15m,True,10,1.5,3,0.6,2.5,1.5,Wick,3,-0.3155454253649458,-5.660894741908361,0.9973546743910815,0.4577269577269577,38
ETHUSDT,15m,True,5,1.0,2,0.3,1.5,3.0,Close,3,-0.87047809676534,-43.18199976578476,0.8944342277702872,0.6122458989590713,303
ETHUSDT,15m,True,10,0.7,4,0.5,2.5,2.0,Close,2,-0.16357304638347858,-3.5008593938801233,0.9846760410349037,0.55,85
ETHUSDT,15m,True,10,1.2,5,0.4,3.0,2.0,Close,1,-1.0441815573088604,-16.739612466087394,0.8179796348949123,0.3816518039284257,131
ETHUSDT,15m,True,15,1.2,3,0.5,1.5,1.5,Close,1,0.33565385205173126,2.9236736815470494,1.1159069952664855,0.5662593984962406,56
ETHUSDT,15m,True,15,0.7,3,0.6,3.0,2.0,Close,2,0.24211994629281305,1.6787241852192372,1.1467708059550894,0.6944444444444444,19
ETHUSDT,15m,True,10,0.5,3,0.6,3.0,3.0,Close,1,0.3478445504706376,2.4069837665175005,1.3026147280305551,0.7487872487872488,38
ETHUSDT,15m,True,5,1.0,5,0.4,3.0,2.5,Wick,1,-0.7654165093108674,-18.44578203640092,0.8875508154278737,0.36767312384010675,219
ETHUSDT,15m,True,5,0.7,6,0.7,3.0,1.5,Close,1,-1.5951431473340565,-16.45734345629492,0.6208792122753334,0.32121212121212117,54
ETHUSDT,15m,True,5,1.2,3,0.3,2.0,3.0,Close,2,-2.0362637349653276,-84.08054466609823,0.7673882252249979,0.4397490075553848,279
ETHUSDT,15m,True,5,1.0,6,0.4,1.5,3.0,Close,3,-1.347784268858042,-96.62086776540778,0.8070913185802568,0.3037383177570093,214
ETHUSDT,15m,True,5,1.0,3,0.7,3.0,3.0,Close,3,-1.2472547974378143,-33.94836516108399,0.7025251752218267,0.42272727272727273,54
ETHUSDT,15m,True,20,0.7,3,0.4,2.0,2.5,Wick,1,-0.3670787707410064,-2.7002952627943726,0.9088380718644694,0.6667721518987342,79
ETHUSDT,15m,True,20,0.5,5,0.3,1.5,1.5,Wick,1,-0.740153428791481,-7.101253115428403,0.8483069489893943,0.6043747985820174,111
ETHUSDT,15m,True,10,0.7,6,0.5,2.0,3.0,Wick,2,-0.9639646727553471,-21.97023286859146,0.8148005683142272,0.39740082079343364,85
ETHUSDT,15m,True,30,1.0,2,0.4,2.0,2.0,Close,2,0.07628549535633042,0.7927877039907961,1.0260405568336743,0.7480169222633527,61
ETHUSDT,15m,True,10,1.2,6,0.7,1.5,2.5,Wick,1,0.4675741223791344,2.9609007513735905,1.387120861579068,0.3645833333333333,14
